Tipo de respuesta,Capacitor,Inductor,$Resistencia_{min}$,$Resistencia_{max}$
No amortiguada,-,-,-,-
subamortiguada,-,-,-,-
Críticamente amortiguada,-,-,-,-
sobreamortiguada,-,-,-,-
